name,owner,full_name,description,stars,gameScore,gameType,language,license,homepage,html_url,topics,pushed_at
supersplat,playcanvas,playcanvas/supersplat,3D Gaussian Splat Editor,2669,2894,other,TypeScript,MIT,https://superspl.at/editor,https://github.com/playcanvas/supersplat,3d-gaussian-splatting|3dgs|gaussian-splatting|pcui|playcanvas|typescript|webgl|webgpu,2025-08-21T09:22:59Z
biomes-game,ill-inc,ill-inc/biomes-game,"Biomes is an open source sandbox MMORPG built for the web using web technologies such as Next.js, Typescript, React and WebAssembly.",2604,2764,other,TypeScript,MIT,https://www.biomes.gg,https://github.com/ill-inc/biomes-game,browser|browser-game|engine|games|mmo|mmorpg-game|mmorpg-server|nextjs|nodejs|react|reactjs,2023-11-10T03:57:49Z
Sabaki,SabakiHQ,SabakiHQ/Sabaki,An elegant Go board and SGF editor for a more civilized age.,2565,2735,other,JavaScript,MIT,https://sabaki.yichuanshen.de/,https://github.com/SabakiHQ/Sabaki,baduk|board-game|electron|go|goban|igo|javascript|linux|macos|sgf|weiqi|windows,2024-03-23T00:57:20Z
Excalibur,excaliburjs,excaliburjs/Excalibur,🎮 Your friendly TypeScript 2D game engine for the web 🗡️,2062,2302,other,TypeScript,BSD-2-Clause,https://excaliburjs.com,https://github.com/excaliburjs/Excalibur,excalibur|excaliburjs|game-development|game-engine|game-framework|gamedev|games|html5-canvas|typescript,2025-08-26T13:41:01Z
LayaAir,layabox,layabox/LayaAir,LayaAir is a fully platform rendering engine with rich 2D/3D rendering capabilities and a mature integrated development platform,1940,2200,platformer,TypeScript,MIT,https://www.layaair.com/,https://github.com/layabox/LayaAir,2d-game-engine|3d-engine|html|html5|javascript|minigames|physics|typescript|webgl|webgl2|webgpu,2025-08-26T08:26:10Z
t-rex-runner,wayou,wayou/t-rex-runner,the t-rex runner game extracted from chromium,2083,2183,other,JavaScript,BSD-3-Clause,https://chromedino.com,https://github.com/wayou/t-rex-runner,chrome|easter-egg|google|javascript|t-rex-runner,2024-07-28T08:43:00Z
pinus,node-pinus,node-pinus/pinus,"A fast,scalable,distributed game server framework for Node.js, Powered by TypeScript.  一个TypeScript写的node.js分布式游戏/应用服务器框架（原型基于pomelo）。",1909,2069,other,JavaScript,MIT,https://pinus.io,https://github.com/node-pinus/pinus,game-server|nodejs|typescript,2025-08-06T09:27:08Z
r2modmanPlus,ebkr,ebkr/r2modmanPlus,A simple and easy to use mod manager for several games using Thunderstore,1680,1970,other,TypeScript,MIT,,https://github.com/ebkr/r2modmanPlus,content-warning|core-keeper|dyson-sphere-program|for-the-king|gtfo|h3vr|lethal-company|mechanica|mod-manager|modding|muck|northstar|outward|risk-of-rain-2|rounds|subnautica|talespire|titanfall-2|valheim,2025-08-26T12:04:47Z
modern-screenshot,qq15725,qq15725/modern-screenshot,📸 Quickly generate image from DOM node using HTML5 canvas and SVG.,1710,1963,other,TypeScript,MIT,https://toolpkg.com/html-to-image,https://github.com/qq15725/modern-screenshot,canvas|dom|dom-to-image|html-to-image|html2canvas|image|javascript|modern-screenshot|screenshot|svg|typescript,2025-08-19T15:53:59Z
wasm4,aduros,aduros/wasm4,Build retro games using WebAssembly for a fantasy console.,1389,1732,other,TypeScript,ISC,https://wasm4.org,https://github.com/aduros/wasm4,2d-game-engine|assemblyscript|d|dlang|emscripten|fantasy-computer|fantasy-console|game-development|gamedev|go|golang|nelua|nim|odin|retrogaming|rust|typescript|wasm|webassembly|zig,2025-08-19T17:03:34Z
HexGL,BKcore,BKcore/HexGL,"Source code of HexGL, a futuristic HTML5 racing game",1660,1710,driving,JavaScript,MIT,http://hexgl.bkcore.com,https://github.com/BKcore/HexGL,,2024-06-29T03:59:36Z
pacman,mumuy,mumuy/pacman,基于HTML5的吃豆人游戏 - 经典游戏开发样例_Pacman based on HTML5,1589,1699,other,JavaScript,MIT,https://passer-by.com/pacman/,https://github.com/mumuy/pacman,canvas|html5|html5-game|javascript|javascript-game|pacman,2024-09-23T10:50:13Z
kaplay,kaplayjs,kaplayjs/kaplay,🦖 A JavaScript/TypeScript Game Library that feels like a game.,1164,1393,other,TypeScript,MIT,https://kaplayjs.com,https://github.com/kaplayjs/kaplay,game-dev|game-development|game-engine|game-library|javascript|kaboom-js|kaboomjs|typescript,2025-08-25T13:29:37Z
recorder,2fps,2fps/recorder,html5 js 浏览器 web端录音,1193,1353,other,JavaScript,MIT,https://recorder.zhuyuntao.cn/,https://github.com/2fps/recorder,audio|html5|javascript|lu-yin|mp3|pcm|recorder|typescript|wav|web|webaudio,2022-12-09T19:43:40Z
lazy-brush,dulnan,dulnan/lazy-brush,"Smooth drawing with mouse, finger or other pointing device",1119,1239,other,TypeScript,MIT,https://lazybrush.dulnan.net/,https://github.com/dulnan/lazy-brush,brush|canvas|drawing|javascript|lazy|painting|typescript,2024-09-14T12:27:29Z
TDungeon,cassiozen,cassiozen/TDungeon,TDungeon is a small adventure game that runs in the Typescript type system,1186,1186,other,TypeScript,MIT,,https://github.com/cassiozen/TDungeon,,2022-09-23T17:54:33Z
glas,lume,lume/glas,WebGL in WebAssembly with AssemblyScript,914,1164,other,TypeScript,MIT,https://lume.io,https://github.com/lume/glas,3d|3d-engine|3d-game-engine|3d-graphics|assemblyscript|creative-coding|game-dev|game-development|game-engine|gamedev|games|glas|lume|three|three-js|threejs|typescript|wasm|webassembly|webgl,2024-08-30T19:02:43Z
genshin-optimizer,frzyc,frzyc/genshin-optimizer,An Artifact optimizer for Genshin Impact(And other Gacha games).,872,1131,other,TypeScript,MIT,https://frzyc.github.io/genshin-optimizer/,https://github.com/frzyc/genshin-optimizer,artifact|community-driven|genshin-impact|hacktoberfest|hacktoberfest2023|monorepo|optimizer|react|star-rail|tool|typescript|zenless-zone-zero,2025-08-15T21:52:53Z
phaser3-typescript,digitsensitive,digitsensitive/phaser3-typescript,Phaser 3 and TypeScript,1019,1109,other,TypeScript,MIT,,https://github.com/digitsensitive/phaser3-typescript,html5-game|phaser|phaser-boilerplate|phaser-framework|phaser-game|phaser-tutorial|phaser3|phaser3-example|typescript,2024-03-27T13:54:27Z
suika,F-star,F-star/suika,A Web Graphics Editor Built with Canvas. 基于 Canvas 实现的图形编辑器,859,1097,other,TypeScript,MIT,https://blog.fstars.wang/app/suika/,https://github.com/F-star/suika,canvas|canvas-editor|design-editor|figma|graph-editor-gui|graphics|graphics-editor|typescript|visualization,2025-08-24T12:32:50Z
underrun,phoboslab,phoboslab/underrun,Twin stick shooter game in 13kb of JavaScript/WebGL,1094,1094,fps,JavaScript,MIT,,https://github.com/phoboslab/underrun,,2022-01-26T19:29:41Z
smooth-signature,linjc,linjc/smooth-signature,H5带笔锋手写签名，支持PC端和移动端，任何前端框架均可使用,978,1088,other,TypeScript,MIT,https://linjc.github.io/smooth-signature/,https://github.com/linjc/smooth-signature,canvas|javascript|react-signature|signature|typescript|vue-signature,2025-04-17T11:24:01Z
editor,playcanvas,playcanvas/editor,"Browser-based visual editor for building WebGL, WebGPU, WebXR apps",715,1001,other,TypeScript,MIT,https://playcanvas.com,https://github.com/playcanvas/editor,editor|frontend|game-development|game-engine|gamedev|nodejs|pcui|playcanvas|typescript|ui|webgl|webgl2|webgpu|webxr,2025-08-22T13:53:53Z
miniplex,hmans,hmans/miniplex,"A 👩‍💻 developer-friendly entity management system for 🕹 games and similarly demanding applications, based on 🛠 ECS architecture.",932,992,other,TypeScript,MIT,,https://github.com/hmans/miniplex,ecs|entity-component-system|game-development|react|state-management|typescript,2023-11-09T15:50:41Z
pcui,playcanvas,playcanvas/pcui,UI component library for web-based tools,717,933,other,TypeScript,MIT,https://developer.playcanvas.com/user-manual/pcui/,https://github.com/playcanvas/pcui,pcui|playcanvas|react|sass|typescript|ui|ui-components,2025-08-22T17:15:29Z
flatdraw,diogocapela,diogocapela/flatdraw,"A simple canvas drawing web app with responsive UI. Made with TypeScript, React, and Next.js.",799,889,other,TypeScript,MIT,https://flatdraw.pages.dev,https://github.com/diogocapela/flatdraw,canvas|nextjs|react|typescript,2024-05-11T02:11:06Z
openplayerjs,openplayerjs,openplayerjs/openplayerjs,Lightweight HTML5 video/audio player with smooth controls and ability to play VAST/VPAID/VMAP ads,614,883,other,TypeScript,MIT,https://www.openplayerjs.com,https://github.com/openplayerjs/openplayerjs,audio|dash|hls|html5|html5-audio|html5-video|html5-video-player|javascript|openplayerjs|player|typescript|vast|video,2025-08-15T11:11:35Z
react,tsparticles,tsparticles/react,React tsParticles official component,541,854,other,JavaScript,MIT,https://particles.js.org,https://github.com/tsparticles/react,2d|animations|canvas|confetti|fireworks|hacktoberfest|javascript|js|npm|particles|particles-js|react|reactjs|ts|tsparticles|typescript|web,2025-08-19T16:46:46Z
Broprint.js,Rajesh-Royal,Rajesh-Royal/Broprint.js,"The world's easiest, smallest and powerful visitor identifier for browsers.",540,811,other,TypeScript,MIT,https://broprintjs.netlify.app/,https://github.com/Rajesh-Royal/Broprint.js,audio-fingerprinting|browserfingerprint|canvas-fingerprinting|cryptography|fingerprinting|frauddetection|identification|javascript|jsfingerprint|reactjs|typescript|uniquebrowserid|visitor-identifier,2025-08-17T14:55:13Z
phaser-catch-the-cat,ganlvtech,ganlvtech/phaser-catch-the-cat,An HTML5 game 'Catch The Cat' powered by Phaser 3,700,800,other,TypeScript,MIT,https://ganlvtech.github.io/phaser-catch-the-cat/,https://github.com/ganlvtech/phaser-catch-the-cat,game|javascript|phaser|phaser3|typescript,2022-12-25T14:08:41Z
spectro,calebj0seph,calebj0seph/spectro,🎶 Real-time audio spectrogram generator for the web,579,799,other,TypeScript,MIT,https://calebj0seph.github.io/spectro,https://github.com/calebj0seph/spectro,app|application|audio|audio-visualizer|dsp|fft|javascript|material-design|material-ui|microphone|react|sound|spectrogram|typescript|web|webgl|webgl-experiments,2023-03-02T19:31:41Z
model-viewer,playcanvas,playcanvas/model-viewer,3D Model Viewer supporting glTF and 3D Gaussian Splats,540,762,other,TypeScript,MIT,https://playcanvas.com/viewer,https://github.com/playcanvas/model-viewer,3d-gaussian-splatting|gaussian-splatting|gltf|javascript|pcui|playcanvas|typescript|webgl,2025-08-18T08:04:40Z
flying-squid,PrismarineJS,PrismarineJS/flying-squid,"Create Minecraft servers with a powerful, stable, and high level JavaScript API.",581,756,digging,JavaScript,MIT,https://prismarinejs.github.io/flying-squid/,https://github.com/PrismarineJS/flying-squid,game|minecraft|minecraft-server|protocol|server|voxel,2025-07-22T07:37:13Z
virtual-background,Volcomix,Volcomix/virtual-background,Demo on adding virtual background to a live video stream in the browser,512,742,other,TypeScript,Apache-2.0,https://volcomix.github.io/virtual-background,https://github.com/Volcomix/virtual-background,background|bodypix|demo|mediapipe|mlkit|react|segmentation|selfie|shaders|simd|stream|tensorflow|tfjs|tflite|typescript|video|wasm|webgl,2024-04-07T10:52:19Z
github-breakout,cyprieng,cyprieng/github-breakout,Generate a Breakout game SVG from a GitHub user's contributions graph,532,724,escape,TypeScript,MIT,https://www.cyprien.io/projects/github-breakout/,https://github.com/cyprieng/github-breakout,breakout|breakout-game|fortheloveofcode|github-actions|github-contribution-graph|github-readme-profile|svg|svg-animations,2025-07-19T17:43:12Z
skinview3d,bs-community,bs-community/skinview3d,Three.js powered Minecraft skin viewer.,623,723,digging,TypeScript,MIT,https://skinview3d-demo.vercel.app,https://github.com/bs-community/skinview3d,minecraft|minecraft-cape|minecraft-skin|skin-viewer|skinview3d,2025-05-06T13:10:36Z
rune,rune,rune/rune,"Build multiplayer web games played by millions! 👾 You focus on your game, Rune handles everything else, incl. backend and networking 🚀 Make your game using JavaScript / TypeScript and any frontend web framework such as React, Svelte, Vue, Threejs, PixiJS, Phaser. You can even use plain HTML and CSS. Perfect for web devs interested in gamedev.",391,712,multiplayer,TypeScript,MIT,https://developers.rune.ai/,https://github.com/rune/rune,backend|css|dusk|framework|frontend|game|game-development|game-engine|gamedev|html|javascript|multiplayer|networking|phaser|react|rune|svelte|threejs|typescript|web,2025-07-28T15:23:51Z
netplayjs,rameshvarun,rameshvarun/netplayjs,"Make P2P multiplayer browser games, no server hosting or synchronization code required. Powered by rollback netcode + WebRTC.",536,696,multiplayer,TypeScript,ISC,https://rameshvarun.github.io/netplayjs/,https://github.com/rameshvarun/netplayjs,game-development|game-networking|gamedev|multiplayer|multiplayer-browser-game|multiplayer-game|p2p|rollback-netcode|threejs|typescript|webrtc,2024-10-10T07:40:04Z
voxelize,voxelize,voxelize/voxelize,":mushroom: Build your own voxel games with Voxelize! Multiplayer, optimized, highly customizable full stack library.",491,692,multiplayer,TypeScript,MIT,https://shaoruu.io,https://github.com/voxelize/voxelize,baltaazr|game|game-engine|gamedev|javascript|rust|shaoruu|threejs|typescript|voxelize,2025-07-08T17:07:02Z
watermark-js-plus,zhensherlock,zhensherlock/watermark-js-plus,watermark for the browser,488,677,other,TypeScript,MIT,https://zhensherlock.github.io/watermark-js-plus/,https://github.com/zhensherlock/watermark-js-plus,canvas|javascript|typescript|watermark,2025-08-25T18:48:06Z
koota,pmndrs,pmndrs/koota,🌎 Performant real-time state management for React and TypeScript,488,666,other,TypeScript,ISC,,https://github.com/pmndrs/koota,data-oriented-design|data-oriented-programming|ecs|entity-component-system|game-development|javascript|react|typescript,2025-08-24T18:04:09Z
Chess,itlwei,itlwei/Chess,中国象棋 - in html5,606,656,strategy,JavaScript,MIT,https://itlwei.github.io/Chess/,https://github.com/itlwei/Chess,,2022-02-13T03:31:08Z
OpenTGX,qilinshuyuan,qilinshuyuan/OpenTGX,"A game development solution using typescript, can make 2d&3d games for all platforms easily. Based on Cocos Creator( support WebGL|WebGPU|Metal|Vulkan|OpenGLES ), can work with all server side solutions(such as Go, NodeJS, Java, C#, etc).",646,647,platformer,TypeScript,MIT,,https://github.com/qilinshuyuan/OpenTGX,,2025-05-19T15:47:18Z
phaser-ce-npm-webpack-typescript-starter-project,rroylance,rroylance/phaser-ce-npm-webpack-typescript-starter-project,"Project to get you started with your Phaser-CE (using the npm module) game using Typescript and Webpack for building! No hassle asset management, Google Web Font loader, live server, development vs distribution build pipeline, Electron packaging for desktop builds, and more...",425,645,other,JavaScript,Unlicense,https://rroylance.github.io/phaser-npm-webpack-typescript-starter-project/,https://github.com/rroylance/phaser-ce-npm-webpack-typescript-starter-project,app|desktop|electron|game|linux|loader|mac|mobile|node|npm|osx|phaser|phaser-ce|template|typescript|webpack|windows,2023-01-14T00:02:32Z
React-2048-game,devrsi0n,devrsi0n/React-2048-game,":video_game: A fancy 2048 game build with react, redux best practices.",483,633,maze,JavaScript,MIT,https://devrsi0n.github.io/React-2048-game/,https://github.com/devrsi0n/React-2048-game,2048|eslint|game|herokuapp|prettier|pwa|react|redux|scss|stylelint,2024-12-08T22:40:13Z
CookieMonster,CookieMonsterTeam,CookieMonsterTeam/CookieMonster,Addon for Cookie Clicker that offers a wide range of tools and statistics to enhance the game,526,631,clicker,JavaScript,MIT,,https://github.com/CookieMonsterTeam/CookieMonster,addon|cookie-clicker,2025-08-11T19:04:14Z
minecraft-threejs,vyse12138,vyse12138/minecraft-threejs,"Minecraft clone made with three.js, demo: https://mc.yulei.me",536,626,digging,TypeScript,MIT,https://mc.yulei.me,https://github.com/vyse12138/minecraft-threejs,javascript|minecraft|threejs|typescript,2023-04-16T05:05:35Z
angular-tetris,trungvose,trungvose/angular-tetris,Tetris game built with Angular and Akita 🎮,544,624,other,TypeScript,MIT,https://tetris.trungk18.com,https://github.com/trungvose/angular-tetris,akita|angular|typescript,2025-04-10T13:34:47Z
Astray,wwwtyro,wwwtyro/Astray,A WebGL maze game built with Three.js and Box2dWeb.,564,614,maze,JavaScript,Unlicense,https://wwwtyro.github.io/Astray,https://github.com/wwwtyro/Astray,,2023-04-09T09:59:48Z
ordinary-puzzles-app,mmazzarolo,mmazzarolo/ordinary-puzzles-app,Mobile and web puzzle game built with React-Native,493,613,maze,TypeScript,MIT,https://www.ordinarypuzzles.com/,https://github.com/mmazzarolo/ordinary-puzzles-app,game|mobx|puzzle|react|react-native|typescript|web,2023-02-05T19:33:41Z
thing-editor,Megabyteceer,Megabyteceer/thing-editor,pixi.js based visual game editor,377,607,other,TypeScript,MIT,,https://github.com/Megabyteceer/thing-editor,2d-game|editor|game|game-engine|gamedev|games|html5-game-development|javascript|pixi-js|pixijs|typescript|unity-analogue|webgl,2025-08-26T16:29:46Z
PhaserEditor2D-v3,PhaserEditor2D,PhaserEditor2D/PhaserEditor2D-v3,A web-based IDE for HTML5 game development. Powered by Phaser.,472,592,other,JavaScript,MIT,https://phasereditor2d.com,https://github.com/PhaserEditor2D/PhaserEditor2D-v3,browser-game|html5|ide|phaser|phaser-editor|typescript|videogames,2024-04-25T23:42:56Z
SC_Js,gloomyson,gloomyson/SC_Js,"Classic RTS game using html5 canvas and javascript, only js codes, all copyrighted materials removed",591,591,strategy,JavaScript,MIT,,https://github.com/gloomyson/SC_Js,,2017-10-09T13:03:46Z
minecraft-react,satansdeer,satansdeer/minecraft-react,A simple blocky game implementation using React and ThreeJS,496,566,digging,JavaScript,MIT,https://www.youtube.com/watch?v=Lc2JvBXMesY,https://github.com/satansdeer/minecraft-react,minecraft|react,2024-04-10T16:33:25Z
vue-aplayer,MoePlayer,MoePlayer/vue-aplayer,🍰 A beautiful HTML5 music player for Vue.js,467,557,other,TypeScript,MIT,https://aplayer.moefe.org/,https://github.com/MoePlayer/vue-aplayer,aplayer|typescript|vue|vue-aplayer,2022-04-16T15:05:15Z
node-csgo,joshuaferrara,joshuaferrara/node-csgo,A node-steam plugin for Counter-Strike: Global Offensive.,465,545,other,JavaScript,MIT,,https://github.com/joshuaferrara/node-csgo,counter-strike|csgo|game-coordinator|javascript|node-steam|nodejs|npm|steam,2023-09-27T00:59:51Z
EasyGameFrameworkOpen,AILHC,AILHC/EasyGameFrameworkOpen,基于Typescript的渐进式通用游戏前端开发框架,318,538,other,TypeScript,MIT,https://ailhc.github.io/EasyGameFrameworkOpen,https://github.com/AILHC/EasyGameFrameworkOpen,broadcast|cocos|cocos-creator|easy-to-use|egf|egret|framework|game-dev|laya|lerna|monorepo|monorepo-lerna|phaser|pixijs|rollup|typescript|yarn,2024-04-11T06:54:36Z
psn-api,achievements-app,achievements-app/psn-api,"A JavaScript library that lets you get trophy, user, and game data from the PlayStation Network.",334,530,other,TypeScript,MIT,https://psn-api.achievements.app,https://github.com/achievements-app/psn-api,achievements|nodejs|playstation|ps4|ps5|psn|trophies|typescript,2025-07-23T16:06:38Z
3D-Hartwig-chess-set,juliangarnier,juliangarnier/3D-Hartwig-chess-set,3D chess game done in HTML/CSS/JS,524,524,strategy,JavaScript,MIT,,https://github.com/juliangarnier/3D-Hartwig-chess-set,,2023-03-31T20:40:37Z
minecraft-mcp-server,yuniko-software,yuniko-software/minecraft-mcp-server,"A Minecraft MCP Server powered by Mineflayer API. It allows to control a Minecraft character in real-time, allowing AI assistants to build structures, explore the world, and interact with the game environment through natural language instruction",234,493,digging,TypeScript,Apache-2.0,https://yuniko.software/mcp-server/,https://github.com/yuniko-software/minecraft-mcp-server,artificial-intelligence|claude|javascript|large-language-models|mcp|mcp-server|minecraft|modelcontextprotocol|natural-language-processing|nodejs|typescript,2025-08-25T11:20:40Z
phaser-project-template,yandeu,yandeu/phaser-project-template,🕹️ Phaser 3 - Starter Template with TypeScript and webpack.,423,493,other,TypeScript,MIT,,https://github.com/yandeu/phaser-project-template,html5-game|phaser|project-template|pwa|starter-template|typescript|webpack,2023-01-24T15:11:33Z
lootscraper,eikowagenknecht,eikowagenknecht/lootscraper,"RSS feeds and Telegram bot for free game and loot offers. Supports Steam, Epic, Amazon Games, GOG, Humble and more.",211,480,strategy,TypeScript,MIT,,https://github.com/eikowagenknecht/lootscraper,amazon-games|bot|docker|epic-games|epic-games-store|feed|free-games|freebies|gog|humble-bundle|itchio|playwright|prime-gaming|rss|steam|telegram|typescript,2025-08-25T18:16:23Z
uniapp,aiplat,aiplat/uniapp,基于uni-app，一次开发，同时打包成Android版app、iOS版app、H5版、微信/支付宝/头条/百度/QQ/钉钉/淘宝/360等等小程序版、快应用，多个平台，界面统一，功能一致。新引入electron用于支持打包PC端(Windows、Mac、Linux)安装包,358,478,other,TypeScript,Apache-2.0,https://aiplat.com,https://github.com/aiplat/uniapp,css3|electron|html5|typescript|uni-app|vue|vuex,2022-04-16T08:27:57Z
2048-in-react,mateuszsokola,mateuszsokola/2048-in-react,:joystick: 2048 game in Next.js with awesome animations!,223,473,maze,TypeScript,MIT,https://mateuszsokola.github.io/2048-in-react/,https://github.com/mateuszsokola/2048-in-react,2048|2048-clone|2048-game|animations|course|javascript|js|learn-to-code|next|nextjs|node|nodejs|online-learning|react|screencast|ts|tutorial|typescript|udemy|udemy-course,2024-09-01T14:14:51Z
uno-game,guilhermebkel,guilhermebkel/uno-game,:flower_playing_cards: An UNO Game made in Javascript,238,458,driving,TypeScript,MIT,https://uno.guilherr.me,https://github.com/guilhermebkel/uno-game,eslint|express|game|games|git-commit-message-linter|husky|javascript|jsgames|lerna|lint-staged|material-ui|react-dnd|reactjs|socketio|typescript|uno|uno-game,2024-04-16T16:29:11Z
element,lume,lume/element,Fast and simple custom elements.,163,449,other,TypeScript,MIT,https://docs.lume.io,https://github.com/lume/element,3d|3d-graphics|css|custom-elements|html|html-elements|javascript|jsx|lume|shadow-dom|solid|threejs|tsx|typescript|web-components|webgl,2025-08-03T05:57:04Z
vnve,vnve,vnve/vnve,🎬  VNVE (Visual Novel Video Editor) Make visual novel videos in browser 在浏览器中快速制作视觉小说视频，利用AI一键生成！ ,186,426,other,TypeScript,MIT,https://www.vnve.net,https://github.com/vnve/vnve,canvas-to-video|galgame|interactive-video|pixijs|pixijs-to-video|typescript|video-editor|visualnovel|webcodecs,2025-08-26T15:06:35Z
generator-easy-ui5,ui5-community,ui5-community/generator-easy-ui5,Meta-generator various project types within the UI5 Universe,261,426,other,JavaScript,Apache-2.0,https://blogs.sap.com/2021/04/09/easy-ui5-3.0-from-community-contributions-to-community-plugins/,https://github.com/ui5-community/generator-easy-ui5,html5-application|open-source|openui5|sap-btp,2025-08-01T11:57:45Z
3d-earth,GhostCatcg,GhostCatcg/3d-earth,Create a 3D Earth using Three.js and TypeScript.,345,425,other,TypeScript,MIT,https://gcat.cc/demo/earth,https://github.com/GhostCatcg/3d-earth,earth|threejs|typescript,2024-01-16T10:19:57Z
break_infinity.js,Patashu,Patashu/break_infinity.js,"A replacement for decimal.js for incremental games who want to deal with very large numbers (bigger in magnitude than 1e308, up to as much as 1e(9e15) ) and want to prioritize speed over accuracy.",225,424,clicker,TypeScript,MIT,,https://github.com/Patashu/break_infinity.js,bigdecimal|biginteger|bignum|bignumber|bignumbers|decimal|idle-game|incremental-game|number|numbers,2025-08-26T02:46:34Z
webgpu-seed,alaingalvan,alaingalvan/webgpu-seed,🔺🌱 An example on how to render a hello triangle with WebGPU.,301,421,other,TypeScript,Unlicense,https://alain.xyz/blog/raw-webgpu,https://github.com/alaingalvan/webgpu-seed,definitions|dts|types|typescript|typescript-definitions|typings|webgpu,2023-04-17T21:56:31Z
node-globaloffensive,DoctorMcKay,DoctorMcKay/node-globaloffensive,A Node.js module to connect to and interact with the CS2 game coordinator. Mostly used to get item data.,310,410,other,JavaScript,MIT,https://www.npmjs.com/package/globaloffensive,https://github.com/DoctorMcKay/node-globaloffensive,counter-strike|csgo|node-steam-steamuser|steam|steam-account,2024-10-03T08:30:39Z
enari-engine,iErcann,iErcann/enari-engine,ThreeJS First Person Shooter Playground,236,408,fps,TypeScript,MIT,https://enari-engine.vercel.app,https://github.com/iErcann/enari-engine,ammojs|counterstrike|engine|fps|game|playground|threejs,2025-07-09T23:39:31Z
